HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.content,Input.hour,Input.minute,Input.day,Input.motion,Input.location,Input.last_notification_time,Answer.sentiment,Approve,Reject
30EMX9PEVK2Y4I7M9BF9HMCZ6JJKSC,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,30JNVC0ORA3XCVPV1OS8XDDRFX7HQK,E9115C3215C3AC,Submitted,Fri Mar 02 22:27:50 PST 2018,Fri Mar 02 22:28:05 PST 2018,Sat Mar 03 22:28:05 PST 2018,,,,15,0% (0/0),0% (0/0),0% (0/0),"It is 7 PM on Monday. You are biking at the beach. You responded to (or clicked on) a notification 5 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",19,0,1,biking,beach,5,Accept,,
30IRMPJWDZ2M3379UMF4RC73KH0KRO,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,3137ONMDKHOUFW4F8RFQIWCCHU6GE8,E9115C3215C3AC,Submitted,Fri Mar 02 22:28:41 PST 2018,Fri Mar 02 22:28:55 PST 2018,Sat Mar 03 22:28:55 PST 2018,,,,14,0% (0/0),0% (0/0),0% (0/0),"It is 10:30 AM on Sunday. You are taking a bus to some place. You responded to (or clicked on) a notification 3 hours ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",10,30,0,bus,others,180,Accept,,
31MCUE39BK5PIFQOT5TTBMCU7M3G3D,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,31HQ4X3T3TTBB7NYKDWBK5LZE21LSK,F07E6352E63521,Submitted,Fri Mar 02 22:24:14 PST 2018,Fri Mar 02 22:24:39 PST 2018,Sat Mar 03 22:24:39 PST 2018,,,,25,0% (0/0),0% (0/0),0% (0/0),"It is 2:45 PM on Wednesday. You are walking around your work You responded to (or clicked on) a notification 35 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",14,45,3,walking,work,35,Later,,
31N9JPQXIP1AMFE9VUVQ50M1R37NHZ,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,31T4R4OBOTZWP590JX51MVZGXFAC78,B656AEA26AEA68,Submitted,Fri Mar 02 22:25:28 PST 2018,Fri Mar 02 22:25:41 PST 2018,Sat Mar 03 22:25:41 PST 2018,,,,13,0% (0/0),0% (0/0),0% (0/0),"It is 1:30 PM on Monday. You are walking around your work You responded to (or clicked on) a notification 4 hours ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",13,30,1,walking,work,240,Later,,
324N5FAHSXUEWAOQ36KES9W65NDKVH,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,326O153BMJHR3CUO61EICB9F42QEDW,9C599A9299A9F8,Submitted,Fri Mar 02 22:28:33 PST 2018,Fri Mar 02 22:28:48 PST 2018,Sat Mar 03 22:28:48 PST 2018,,,,15,0% (0/0),0% (0/0),0% (0/0),"It is 4:15 PM on Saturday. You are taking a train to some place. You responded to (or clicked on) a notification 2 hours and 30 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",16,15,6,train,others,150,Accept,,
32L724R85L3ALV16HRQ391SBRVNIPJ,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,339ANSOTR6LBXN2KU1QW132XG4TIKL,18D70B9270B912,Submitted,Fri Mar 02 22:24:08 PST 2018,Fri Mar 02 22:24:18 PST 2018,Sat Mar 03 22:24:18 PST 2018,,,,10,0% (0/0),0% (0/0),0% (0/0),"It is 9:30 AM on Friday. You are not moving (you could be sleeping or sitting some place). You are at your friend's place. You responded to (or clicked on) a notification 2 hours ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",9,30,5,walking,friend-house,120,Accept,,
32TZXEA1OL3DWWJPB0D9E40UJXG14J,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,33LKR6A5KF3Z00W9G3JIAV87IFA1TJ,72AE87E2E87E9B,Submitted,Fri Mar 02 22:25:23 PST 2018,Fri Mar 02 22:25:40 PST 2018,Sat Mar 03 22:25:40 PST 2018,,,,17,0% (0/0),0% (0/0),0% (0/0),"It is 6:45 PM on Tuesday. You are walking at the beach. You responded to (or clicked on) a notification 25 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",18,45,2,walking,beach,25,Accept,,
335VBRURDJJDD3JD4J4F2WU4UYY9E6,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,33PPO7FECWY3JHWA2K49XQ77WVWID8,9EF4D6D24D6DDD,Submitted,Fri Mar 02 22:28:08 PST 2018,Fri Mar 02 22:28:14 PST 2018,Sat Mar 03 22:28:14 PST 2018,,,,6,0% (0/0),0% (0/0),0% (0/0),"It is 10 AM on Saturday. You are walking at a park. You responded to (or clicked on) a notification 25 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",10,0,6,walking,park,25,Accept,,
33IXYHIZB512DJYEJAP0S9MQOSOE2J,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,33SA9F9TRYDQCIUFNWJ84ZY0BIWEW5,345E3E12E3E17A,Submitted,Fri Mar 02 22:26:18 PST 2018,Fri Mar 02 22:26:43 PST 2018,Sat Mar 03 22:26:43 PST 2018,,,,25,0% (0/0),0% (0/0),0% (0/0),"It is 8:30 PM on Wednesday. You're sitting (or standing) at a shopping mall. You responded to (or clicked on) a notification 2 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",20,30,3,stationary,mall,2,Later,,
344M16OZKIYY25N75TNKKXPOZNFNEJ,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,345LHZDEDYBAAGPD3CNB3K96ZDVU3V,72AE87E2E87E9B,Submitted,Fri Mar 02 22:25:58 PST 2018,Fri Mar 02 22:26:13 PST 2018,Sat Mar 03 22:26:13 PST 2018,,,,15,0% (0/0),0% (0/0),0% (0/0),"It is 5:15 PM on Tuesday. You are walking at a park. You responded to (or clicked on) a notification 35 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",17,15,2,walking,park,35,Accept,,
34F34TZU7WIAOZK6XB0RPPZIT0KJ29,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,34BBWHLWHBU2SNW1JF9ZPEWS3B2WIV,DB1F1CE2F1CE48,Submitted,Fri Mar 02 22:25:52 PST 2018,Fri Mar 02 22:26:10 PST 2018,Sat Mar 03 22:26:10 PST 2018,,,,18,0% (0/0),0% (0/0),0% (0/0),"It is 2:30 PM on Tuesday. You are not moving (you could be sleeping or sitting some place). You are at home. You responded to (or clicked on) a notification 55 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",14,30,2,walking,home,55,Accept,,
34R0BODSP1IUCGH11TRYQGP282FE5K,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,34HJIJKLP6FV5RXH8G2Z9B3VRK04VF,72AE87E2E87E9B,Submitted,Fri Mar 02 22:28:06 PST 2018,Fri Mar 02 22:28:23 PST 2018,Sat Mar 03 22:28:23 PST 2018,,,,17,0% (0/0),0% (0/0),0% (0/0),"It is 10 AM on Friday. You are not moving (you could be sleeping or sitting some place). You are at your friend's place. You responded to (or clicked on) a notification 1 minute ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",10,0,5,walking,friend-house,1,Accept,,
35NNO802AVFAIAPT1CDB5CNGRGMNIS,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,34S6N1K2ZW2MLY9I9JKCGREX5RJLHY,9EF4D6D24D6DDD,Submitted,Fri Mar 02 22:28:14 PST 2018,Fri Mar 02 22:28:30 PST 2018,Sat Mar 03 22:28:30 PST 2018,,,,16,0% (0/0),0% (0/0),0% (0/0),"It is 2 PM on Thursday. You're sitting (or standing) at your friend's place. You responded to (or clicked on) a notification 55 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",14,0,4,stationary,friend-house,55,Accept,,
37VE3DA4YU08L6PCS4QHE5M7AETBHY,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:17 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:17 PST 2018,,,34S6N1K2ZW2MLY9I9JKCGREX5RKHLV,CEA82D8282D8F7,Submitted,Fri Mar 02 22:24:08 PST 2018,Fri Mar 02 22:24:13 PST 2018,Sat Mar 03 22:24:13 PST 2018,,,,5,0% (0/0),0% (0/0),0% (0/0),"It is 2 PM on Sunday. You are biking at the beach. You responded to (or clicked on) a notification 1 hour and 30 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",14,0,0,biking,beach,90,Accept,,
37Y5RYYI0PO4OI6T8UUY7GK12SYSX9,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:17 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:17 PST 2018,,,34YB12FSQZ7SRKWSPP39V4HLQWXGMX,9EF4D6D24D6DDD,Submitted,Fri Mar 02 22:26:27 PST 2018,Fri Mar 02 22:26:58 PST 2018,Sat Mar 03 22:26:58 PST 2018,,,,31,0% (0/0),0% (0/0),0% (0/0),"It is 6 PM on Monday. You are driving to some place. You responded to (or clicked on) a notification 5 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",18,0,1,driving,others,5,Later,,
38B7Q9C28GO90OQYY1LHQ82RD0A96L,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:17 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:17 PST 2018,,,34Z02EIMITWZTBBRKKFIWQPXDN40TF,5573EB823EB847,Submitted,Fri Mar 02 22:24:20 PST 2018,Fri Mar 02 22:24:28 PST 2018,Sat Mar 03 22:24:28 PST 2018,,,,8,0% (0/0),0% (0/0),0% (0/0),"It is 2:45 PM on Saturday. You are walking around your home You responded to (or clicked on) a notification 50 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",14,45,6,walking,home,50,Accept,,
38RHULDV9YY054Y7TD4Y1V07KSQIWE,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:17 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:17 PST 2018,,,351SEKWQS10PF0M1NZ21PJEOD4HDMK,B656AEA26AEA68,Submitted,Fri Mar 02 22:27:14 PST 2018,Fri Mar 02 22:27:53 PST 2018,Sat Mar 03 22:27:53 PST 2018,,,,39,0% (0/0),0% (0/0),0% (0/0),"It is 12 PM on Saturday. You are biking at a park. You responded to (or clicked on) a notification 2 hours and 30 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",12,0,6,biking,park,150,Later,,
38Z7YZ2SB3LVL72LH45S96ILWR9IQA,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:17 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:17 PST 2018,,,35USIKEBNSZWC9SMPD9NWSTW1846NL,508FD6A2FD6A8D,Submitted,Fri Mar 02 22:25:04 PST 2018,Fri Mar 02 22:25:19 PST 2018,Sat Mar 03 22:25:19 PST 2018,,,,15,0% (0/0),0% (0/0),0% (0/0),"It is 8 PM on Saturday. You are biking at a gym. You responded to (or clicked on) a notification 4 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",20,0,6,biking,gym,4,Later,,
391JB9X4ZYRV6NUHPEJN5DDTEU1KM0,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:17 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:17 PST 2018,,,36DSNE9QZ6HQIP75AB3PKLY6DOTOJO,18D70B9270B912,Submitted,Fri Mar 02 22:23:42 PST 2018,Fri Mar 02 22:24:07 PST 2018,Sat Mar 03 22:24:07 PST 2018,,,,25,0% (0/0),0% (0/0),0% (0/0),"It is 10:30 AM on Saturday. You are walking around your friend's place You responded to (or clicked on) a notification 10 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",10,30,6,walking,friend-house,10,Later,,
39AYGO6AFF3UPQUSZB4M89XBIPR6NH,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:17 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:17 PST 2018,,,36H9ULYP63DWCCUCB8KZXRPSLN2JFX,9C599A9299A9F8,Submitted,Fri Mar 02 22:26:49 PST 2018,Fri Mar 02 22:27:11 PST 2018,Sat Mar 03 22:27:11 PST 2018,,,,22,0% (0/0),0% (0/0),0% (0/0),"It is 10:15 AM on Tuesday. You are driving to some place. You responded to (or clicked on) a notification 2 hours ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",10,15,2,driving,others,120,Dismiss,,
3ACRLU860NXW1WYA23IBT2PUIY1BEI,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:17 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:17 PST 2018,,,36WLNQG780TYOFW4S5NCHLLF1HEEBP,9C599A9299A9F8,Submitted,Fri Mar 02 22:28:01 PST 2018,Fri Mar 02 22:28:12 PST 2018,Sat Mar 03 22:28:12 PST 2018,,,,11,0% (0/0),0% (0/0),0% (0/0),"It is 8:30 AM on Monday. You are not moving (you could be sleeping or sitting some place). You are at your friend's place. You responded to (or clicked on) a notification 2 hours and 30 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",8,30,1,walking,friend-house,150,Accept,,
3APP19WN71XOFYD6C7RRIPOEHD56G9,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:17 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:17 PST 2018,,,37XITHEISXS67OTFSB37RCQGYR4CR7,B656AEA26AEA68,Submitted,Fri Mar 02 22:26:24 PST 2018,Fri Mar 02 22:26:38 PST 2018,Sat Mar 03 22:26:38 PST 2018,,,,14,0% (0/0),0% (0/0),0% (0/0),"It is 8:30 PM on Monday. You're sitting (or standing) at home. You responded to (or clicked on) a notification 1 hour and 30 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",20,30,1,stationary,home,90,Accept,,
3APP19WN71XOFYD6C7RRIPOEHD5G6J,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:17 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:17 PST 2018,,,37Z929RLGARZUKV3TMY26WVG8FMTSU,5921CC421CC465,Submitted,Fri Mar 02 22:28:23 PST 2018,Fri Mar 02 22:28:33 PST 2018,Sat Mar 03 22:28:33 PST 2018,,,,10,0% (0/0),0% (0/0),0% (0/0),"It is 2:45 PM on Thursday. You're sitting (or standing) at home. You responded to (or clicked on) a notification 10 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",14,45,4,stationary,home,10,Accept,,
3AQN9REUTFZNMYDLG0LBVV5A3VIDY6,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:17 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:17 PST 2018,,,3907X2AHF1O8XTLYIQACA4HFLI3P2J,9C599A9299A9F8,Submitted,Fri Mar 02 22:28:15 PST 2018,Fri Mar 02 22:28:32 PST 2018,Sat Mar 03 22:28:32 PST 2018,,,,17,0% (0/0),0% (0/0),0% (0/0),"It is 5 PM on Wednesday. You are walking around your home You responded to (or clicked on) a notification 2 hours and 30 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",17,0,3,walking,home,150,Accept,,
